Tiempo_ms	Voltaje_V
1282	3.04938
1284	3.04777
1285	3.05583
1286	3.04938
1288	3.04938
1289	3.04616
1295	3.04938
1396	3.05019
1397	3.05100
1399	3.04697
1400	3.04938
1401	3.04455
1402	3.05502
1403	3.05261
1404	3.04938
1405	3.04938
1406	3.05341
1408	3.05583
1409	3.04777
1410	3.04294
1411	3.05100
1412	3.04777
1413	3.04938
1414	3.05261
1415	3.05502
1417	3.04777
1418	3.04697
1419	3.05019
1420	3.05100
1421	3.04777
1422	2.99138
1423	3.04697
1424	3.05664
1426	3.04938
1427	3.05261
1428	3.05180
1429	3.05341
1430	3.05019
1431	3.04938
1432	3.04616
1434	3.06066
1435	3.05583
1436	3.04938
1437	3.04777
1438	3.05180
1440	3.05019
1441	3.05422
1442	3.04697
1443	3.04938
1444	3.05502
1445	3.05261
1447	3.04938
1448	3.05180
1449	3.04697
1450	3.05100
1451	3.05180
1453	3.00185
1454	3.05100
1455	3.05180
1456	3.03488
1458	3.05019
1459	3.05180
1460	3.05422
1461	3.05019
1462	3.05019
1463	3.04938
1464	3.05100
1466	2.99299
1467	3.04938
1468	3.04697
1470	3.05583
1471	3.05019
1472	3.05341
1473	3.04938
1474	3.04697
1476	3.05019
1477	3.03247
1478	3.04938
1479	3.04938
1481	3.04616
1482	3.04938
1483	3.05261
1484	3.05019
1486	3.04777
1487	3.04938
1488	3.05341
1489	3.05180
1491	3.05019
1492	3.05261
1493	3.05100
1494	3.04616
1496	3.05019
1497	3.05019
1498	3.04697
1499	3.05019
1500	3.04938
1502	3.05180
1503	3.05100
1504	3.04938
1506	3.04938
1507	3.04938
1508	3.06066
1510	3.05019
1511	3.06872
1512	3.05180
1514	3.05019
1515	3.04697
1561	3.04697
1563	3.04294
1564	3.05100
1565	3.05019
1566	3.05422
1567	3.04777
1568	3.05744
1570	3.05180
1571	3.05019
1572	3.05019
1573	3.03972
1574	3.04938
1575	3.05261
1576	3.04938
1577	3.04938
1578	3.04697
1579	3.04374
1581	3.05583
1582	3.05100
1583	3.04938
1584	3.04374
1585	3.04133
1586	3.05019
1587	3.05583
1588	3.05100
1589	3.05100
1591	3.05019
1592	3.03891
1593	3.05019
1594	3.04938
1595	3.04536
1596	3.05100
1597	3.05019
1598	3.04938
1600	3.04455
1601	3.05180
1602	3.03972
1603	3.05019
1604	3.05100
1605	3.04938
1607	3.05825
1608	3.05019
1609	3.04938
1610	3.05180
1611	3.05825
1612	3.05019
1613	3.04616
1615	3.05180
1616	3.05825
1617	3.04455
1618	3.05825
1620	3.05019
1621	3.05100
1622	3.05100
1623	3.05180
1624	3.05180
1625	3.04697
1627	3.05180
1628	3.05100
1629	3.04616
1630	3.05019
1632	3.04536
1633	3.04536
1634	3.04697
1635	3.05422
1637	3.05019
1638	3.05019
1639	3.04938
1640	3.05019
1641	3.04777
1642	3.05261
1644	3.08242
1645	3.05019
1646	3.05180
1647	3.04938
1649	3.05341
1650	3.05422
1651	3.04455
1652	3.05180
1654	3.05986
1655	3.05180
1656	3.05019
1657	3.05261
1659	3.05180
1660	3.04697
1661	3.05341
1663	3.04455
1664	3.05100
1665	3.05744
1667	3.04052
1668	3.05100
1669	3.05341
1671	3.05261
1672	3.05100
1673	3.05019
1674	3.05180
1676	3.05261
1677	3.04697
1678	3.04777
1680	3.05180
1728	3.04697
1730	3.04777
1731	3.05341
1732	3.04858
1733	3.04536
1734	3.04536
1735	3.05019
1736	3.05341
1737	3.05019
1738	3.04213
1740	3.04938
1741	2.98896
1742	3.07275
1743	3.05422
1744	3.04616
1745	2.99138
1746	3.05583
1747	3.04938
1749	3.04938
1750	3.04052
1751	3.05019
1752	3.05019
1753	3.05180
1754	3.05422
1755	3.05019
1756	3.04697
1757	3.04455
1758	3.04938
1760	3.05019
1761	3.04777
1762	3.05180
1763	3.05664
1764	3.04536
1770	3.04697
1771	3.05019
1772	3.04777
1774	3.05100
1775	3.04455
1776	3.05180
1777	3.04938
