Tiempo_ms	Voltaje_V
1801	1.39573
1802	1.39251
1804	1.38929
1805	1.38768
1806	1.38204
1808	1.38848
1809	1.38284
1810	1.39493
1811	1.38607
1813	1.38687
1814	1.38687
1815	1.32645
1817	1.38687
1818	1.38929
1819	1.39251
1915	1.38768
1916	1.38687
1918	1.38445
1919	1.38607
1920	1.41265
1921	1.38687
1922	1.38929
1923	1.38123
1924	1.38768
1925	1.38607
1926	1.38848
1927	1.38848
1929	1.38687
1930	1.38687
1931	1.38445
1932	1.38929
1933	1.38929
1934	1.40137
1935	1.38365
1936	1.38768
1937	1.38768
1939	1.38204
1940	1.38929
1941	1.37881
1942	1.39493
1943	1.38607
1944	1.38929
1945	1.38687
1947	1.38768
1948	1.38284
1949	1.38768
1950	1.39090
1951	1.38848
1952	1.38365
1953	1.38929
1955	1.39412
1956	1.39090
1957	1.38929
1958	1.38607
1959	1.38768
1960	1.38768
1962	1.38365
1963	1.38848
1964	1.38929
1965	1.38768
1966	1.38929
1967	1.38768
1969	1.38929
1970	1.38848
1971	1.38365
1972	1.38445
1973	1.39332
1975	1.38687
1976	1.39332
1977	1.38445
1978	1.38445
1979	1.38284
1981	1.38607
1982	1.38445
1983	1.38445
1984	1.38687
1986	1.38929
1987	1.39009
1988	1.38848
1989	1.38687
1990	1.38687
1992	1.38043
1993	1.38848
1994	1.38607
1995	1.38204
1997	1.38768
1998	1.38929
1999	1.38848
2000	1.38687
2002	1.38929
2003	1.38768
2004	1.38929
2005	1.39009
2007	1.39251
2008	1.38365
2009	1.39009
2010	1.38687
2012	1.38607
2013	1.33289
2014	1.38768
2016	1.38687
2017	1.38204
2018	1.38607
2020	1.38848
2021	1.38768
2022	1.42796
2023	1.33692
2025	1.38929
2026	1.38284
2027	1.38687
2029	1.38687
2030	1.41910
2031	1.39009
2033	1.38929
2034	1.38687
2079	1.38365
2080	1.37881
2081	1.38848
2083	1.38848
2084	1.39573
2085	1.38848
2086	1.39009
2087	1.38687
2088	1.38929
2089	1.38768
2090	1.38848
2091	1.38687
2092	1.38284
2093	1.38929
2094	1.38365
2096	1.38768
2097	1.38607
2098	1.38445
2099	1.38687
2100	1.39090
2101	1.38687
2102	1.38929
2103	1.38929
2105	1.38365
2106	1.39009
2107	1.38284
2108	1.39251
2109	1.39009
2110	1.38768
2111	1.38768
2113	1.38848
2114	1.37801
2115	1.39009
2116	1.39412
2117	1.37398
2118	1.40943
2119	1.38687
2120	1.38848
2122	1.39009
2123	1.38204
2124	1.38607
2125	1.38607
2126	1.38768
2127	1.38687
2129	1.39171
2130	1.38607
2131	1.39493
2132	1.38687
2133	1.38768
2135	1.38848
2136	1.37962
2137	1.38607
2138	1.38607
2139	1.38768
2140	1.38687
2142	1.34739
2143	1.38607
2149	1.38445
2150	1.39251
2152	1.38929
2153	1.38768
2154	1.37479
2155	1.39009
2157	1.38687
2158	1.38607
2159	1.39251
2160	1.38768
2162	1.38687
2163	1.39896
2164	1.38687
2166	1.39090
2167	1.38687
2168	1.38929
2169	1.38929
2171	1.38284
2172	1.38607
2173	1.38848
2175	1.38848
2176	1.38929
2177	1.38768
2179	1.39171
2180	1.38445
2182	1.38687
2183	1.39251
2184	1.38848
2186	1.38929
2187	1.43038
2189	1.38848
2190	1.40540
2191	1.38768
2193	1.39090
2194	1.38768
2195	1.38687
2197	1.38204
2198	1.38445
2199	1.38768
2200	1.38848
2202	1.38687
2203	1.38768
2204	1.39332
2253	1.38607
2254	1.38768
2256	1.39009
2257	1.38445
2258	1.38848
2259	1.39009
2260	1.39009
2261	1.38848
2262	1.38848
2263	1.37801
2264	1.38526
2265	1.38768
2266	1.38687
2268	1.38687
2269	1.38929
2270	1.39090
2271	1.38768
2272	1.38365
2273	1.38768
2274	1.38445
2275	1.38848
2276	1.39009
2278	1.39090
2279	1.39412
2280	1.38768
2281	1.38687
2282	1.38445
2283	1.38284
2284	1.38768
2286	1.38768
2287	1.38687
2288	1.38929
2289	1.39090
2290	1.38365
2291	1.38929
2292	1.38607
2294	1.38687
2295	1.38607
2296	1.38848
2297	1.38607
2298	1.39009
2299	1.38687
2301	1.38445
2302	1.37962
2303	1.40057
2304	1.38929
2305	1.38526
2306	1.38687
2307	1.38848
2309	1.38526
2310	1.38284
2311	1.38768
2312	1.38607
2313	1.37398
2315	1.38365
2316	1.38768
2317	1.38687
2318	1.37962
2319	1.38929
2321	1.38365
2322	1.38445
2323	1.38204
2324	1.38687
2326	1.38848
2327	1.38768
2328	1.38848
2329	1.38929
2330	1.38848
2332	1.38204
2333	1.38848
2334	1.38365
2335	1.38768
2337	1.38848
2338	1.38929
2339	1.38768
2340	1.38848
2342	1.38607
2343	1.38365
2344	1.38929
2345	1.38848
2347	1.38768
2348	1.38768
2349	1.38687
2351	1.38445
2352	1.38607
2353	1.38526
2354	1.39412
2356	1.39412
2357	1.41185
2358	1.39573
2360	1.38607
2361	1.38768
2362	1.38929
2363	1.38768
2365	1.38284
2366	1.37559
2367	1.38687
2369	1.38365
2370	1.39332
2371	1.38929
2507	1.39573
2509	1.38768
2510	1.39009
2511	1.38445
2512	1.38687
2513	1.38526
2515	1.38043
2516	1.39412
2517	1.38929
2518	1.38768
2519	1.38768
2520	1.38848
2521	1.38848
2522	1.38848
2523	1.38929
2524	1.38445
2525	1.38445
2527	1.38607
2528	1.38768
2529	1.39654
2530	1.38445
2531	1.38768
2532	1.38848
2533	1.38123
2534	1.38768
2536	1.38445
2537	1.38929
2538	1.39332
2539	1.38768
2540	1.38687
2541	1.38848
2542	1.39090
2544	1.38768
2545	1.38768
2546	1.38445
2547	1.38445
2548	1.38284
2549	1.38123
2550	1.39090
2552	1.38445
2553	1.38768
2554	1.38607
2555	1.38123
2556	1.38445
2557	1.39251
2559	1.38365
2560	1.38929
2561	1.38929
2562	1.39009
2563	1.38607
2565	1.38526
2566	1.38929
2567	1.39171
2568	1.38284
2569	1.38768
2571	1.38848
2572	1.38687
2573	1.38445
2574	1.38929
2575	1.39009
2577	1.38768
2578	1.39090
2579	1.38768
2580	1.38687
2581	1.39332
2583	1.38848
2584	1.38768
2585	1.38687
2586	1.38365
2588	1.38445
2589	1.42796
2590	1.38284
2591	1.38284
2593	1.38929
2599	1.40621
2600	1.39251
2601	1.38929
2603	1.38768
2604	1.38607
2605	1.38445
2607	1.38929
2608	1.38445
2609	1.39332
2611	1.38204
2612	1.39090
2613	1.39009
2615	1.38768
2616	1.38768
2617	1.39009
2619	1.38607
2620	1.38768
2621	1.38607
2623	1.38204
2624	1.38929
2626	1.38848
2627	1.38929
2628	1.38848
2630	1.38929
2631	1.38607
2632	1.38204
2738	1.38607
2740	1.39734
2741	1.39090
2742	1.38929
2743	1.38445
2744	1.38768
2746	1.38445
2747	1.38768
2748	1.38929
2749	1.39009
2750	1.38526
2751	1.38687
2752	1.38768
2753	1.38848
2754	1.41749
2755	1.38929
2757	1.38687
2758	1.38929
2759	1.38848
2760	1.43199
2761	1.41426
2762	1.38607
2763	1.38687
2764	1.38768
2766	1.38848
2767	1.39976
2768	1.39171
2769	1.38043
2770	1.38768
2771	1.38607
2772	1.38848
2774	1.38445
2775	1.38768
2776	1.38687
2777	1.38687
2778	1.38445
2779	1.38445
2780	1.39009
2782	1.38365
2783	1.38768
2784	1.38768
2785	1.38768
2786	1.38607
2787	1.38284
2789	1.38284
2790	1.38123
2791	1.38204
2792	1.38445
2793	1.38445
2795	1.38768
2796	1.38848
2797	1.38607
2798	1.38365
2799	1.38929
2801	1.39090
2802	1.38687
2803	1.38687
2804	1.38848
2805	1.38768
2807	1.38848
2808	1.37398
2809	1.38607
2810	1.39090
2812	1.38687
2813	1.38365
2814	1.38204
2815	1.38687
2816	1.38929
2818	1.38687
2819	1.38445
2820	1.38284
2821	1.38607
2823	1.37720
2824	1.38687
2825	1.39090
2826	1.38687
2828	1.38607
2829	1.38687
2830	1.39090
2832	1.38043
2833	1.38687
2834	1.38687
2835	1.38687
2837	1.38848
2838	1.38365
2839	1.38687
2840	1.37801
2842	1.38365
2843	1.38929
2844	1.38768
2846	1.41749
2847	1.38848
2848	1.38848
2849	1.38607
2851	1.37640
2852	1.39896
2853	1.38365
2855	1.38607
2856	1.39332
2857	1.37962
2905	1.38687
2907	1.39009
2908	1.38284
2909	1.38043
2910	1.38687
2911	1.38687
2912	1.38768
2913	1.38687
2915	1.38284
2916	1.38687
2917	1.39573
2918	1.38687
2919	1.38768
2920	1.37962
2921	1.38365
2922	1.38768
2923	1.38768
2924	1.38284
2925	1.39251
2927	1.38929
2928	1.38848
2929	1.38768
2930	1.38768
2931	1.38687
2932	1.38929
2933	1.38929
2934	1.38365
2936	1.38687
2937	1.38607
2938	1.38848
2939	1.37962
2940	1.38768
2941	1.38848
2942	1.38768
2943	1.38687
2945	1.38929
2946	1.38284
2947	1.38607
2948	1.38526
2949	1.38768
2950	1.39251
2952	1.38848
2953	1.38768
2954	1.38365
2955	1.38929
2956	1.38848
2957	1.37801
2959	1.39090
2960	1.37398
2961	1.38607
2962	1.38607
2963	1.38526
2965	1.38929
2966	1.38445
2967	1.38768
2968	1.38929
2969	1.38848
2971	1.38445
2972	1.37881
2973	1.38607
2974	1.39009
2975	1.38284
2977	1.38768
2978	1.38445
2979	1.39332
2980	1.38365
2982	1.38607
2983	1.39090
2984	1.38607
2985	1.38204
2987	1.38445
2988	1.38687
2989	1.38768
2990	1.38365
2992	1.38687
2993	1.38768
2994	1.38445
2995	1.38526
2997	1.38929
2998	1.39009
2999	1.39009
3000	1.38445
3002	1.37801
3003	1.39493
3004	1.38687
3006	1.38365
3007	1.38687
3008	1.38526
3014	1.38768
3016	1.39412
3017	1.38687
3018	1.38365
3020	1.38768
3021	1.38768
3022	1.38204
3024	1.38848
3025	1.37962
3026	1.39090
3028	1.39412
3029	1.38687
3084	1.38687
3086	1.38929
3087	1.39090
3088	1.38768
3089	1.39251
3090	1.38848
3091	1.38607
3092	1.38607
3093	1.39896
3094	1.39090
3095	1.38848
3097	1.39171
3098	1.38687
3099	1.38768
3100	1.38607
3101	1.39009
3102	1.39009
3103	1.38768
3104	1.38687
3105	1.38768
3107	1.38204
3108	1.38768
3109	1.39251
3110	1.38768
3111	1.38687
3112	1.38687
3113	1.38687
3114	1.38607
3116	1.37398
3117	1.38365
3118	1.38687
3119	1.38445
3120	1.38607
3121	1.38445
3122	1.39332
3124	1.39009
3125	1.38445
3126	1.39412
3127	1.38848
3128	1.39251
3129	1.38768
3131	1.38445
3132	1.38768
3133	1.38607
3134	1.38607
